Organism	Chromosome	Contig	Gene_Name	Strand_Orientation	Start	End
Homo sapiens 	X 	NT_011651 	LOC266683 	+ 	5426939 	5427290
Homo sapiens 	X 	NT_011651 	POU3F4 	+ 	6059609 	6061083
Homo sapiens 	X 	NT_011651 	LOC648283 	- 	6300125 	6324544
Homo sapiens 	X 	NT_011651 	CYLC1 	+ 	6412462 	6550769
Homo sapiens 	X 	NT_011651 	RPS6KA6 	- 	6615292 	6750684
Homo sapiens 	X 	NT_011651 	CXorf43 	- 	6872517 	7053766
Homo sapiens 	X 	NT_011651 	LOC642869 	+ 	7306314 	7307793
Homo sapiens 	X 	NT_011651 	LOC642874 	+ 	7311426 	7311905
Homo sapiens 	X 	NT_011651 	FAM121A 	+ 	7555213 	7639082
Homo sapiens 	X 	NT_011651 	SATL1 	- 	7643608 	7659754
Homo sapiens 	X 	NT_011651 	ZNF711 	+ 	7795346 	7824676
Homo sapiens 	X 	NT_011651 	POF1B 	- 	7828710 	7931056
Homo sapiens 	X 	NT_011651 	CHM 	- 	8412493 	8598874
Homo sapiens 	X 	NT_011651 	LOC441505 	- 	8636021 	8637652
Homo sapiens 	X 	NT_011651 	DACH2 	+ 	8699933 	9383898
Homo sapiens 	X 	NT_011651 	bA345E19.2 	- 	9349912 	9350537
Homo sapiens 	X 	NT_011651 	KLHL4 	+ 	10069117 	10221358
Homo sapiens 	X 	NT_011651 	RPSAP15 	- 	10254581 	10255621
Homo sapiens 	X 	NT_011651 	MRPS22P1 	- 	10360590 	10361046
Homo sapiens 	X 	NT_011651 	CAPZA1P 	- 	10647700 	10648554
Homo sapiens 	X 	NT_011651 	CPXCR1 	+ 	11298564 	11306088
Homo sapiens 	X 	NT_011651 	TGIF2LX 	+ 	12473248 	12474190
Homo sapiens 	X 	NT_011651 	USP12P2 	+ 	12663794 	12666036
Homo sapiens 	X 	NT_011651 	PABPC5 	+ 	13985905 	13989891
Homo sapiens 	X 	NT_011651 	LOC728150 	+ 	14328808 	14330991
Homo sapiens 	X 	NT_011651 	PCDH11X 	+ 	14330612 	15174534
Homo sapiens 	X 	NT_011651 	LOC642784 	- 	14664401 	14665768
Homo sapiens 	X 	NT_011651 	KRT18L1 	+ 	15010918 	15012328
Homo sapiens 	X 	NT_011651 	LOC392501 	- 	15227826 	15228261
Homo sapiens 	X 	NT_011651 	LOC401602 	- 	15773525 	15776322
Homo sapiens 	X 	NT_011651 	LOC643310 	- 	15839040 	15839285
Homo sapiens 	X 	NT_011651 	NAP1L3 	- 	16222237 	16224916
Homo sapiens 	X 	NT_011651 	RP1-32F7.2 	+ 	16225513 	16263569
Homo sapiens 	X 	NT_011651 	LOC643371 	+ 	16641861 	16871321
Homo sapiens 	X 	NT_011651 	CALM1P1 	+ 	18051115 	18051222
Homo sapiens 	X 	NT_011651 	LOC648927 	- 	18524635 	18525621
Homo sapiens 	X 	NT_011651 	LOC643486 	- 	18888768 	18889058
Homo sapiens 	X 	NT_011651 	DIAPH2 	+ 	19236017 	20156300
Homo sapiens 	X 	NT_011651 	RPA4 	+ 	19435215 	19436774
Homo sapiens 	X 	NT_011651 	LOC392505 	+ 	20802987 	20803849
Homo sapiens 	X 	NT_011651 	LOC643563 	+ 	20940816 	20942245
Homo sapiens 	X 	NT_011651 	LOC442459 	- 	22270661 	22307672
Homo sapiens 	X 	NT_011651 	LOC643605 	- 	22701088 	22702246
Homo sapiens 	X 	NT_011651 	LOC643617 	- 	22707119 	22708158
Homo sapiens 	X 	NT_011651 	PCDH19 	- 	22842948 	22958460
Homo sapiens 	X 	NT_011651 	TNMD 	+ 	23136138 	23151186
Homo sapiens 	X 	NT_011651 	TSPAN6 	- 	23180103 	23188102
Homo sapiens 	X 	NT_011651 	SRPX2 	+ 	23195533 	23233719
Homo sapiens 	X 	NT_011651 	SYTL4 	- 	23225796 	23282806
Homo sapiens 	X 	NT_011651 	LOC442460 	- 	23351587 	23352081
Homo sapiens 	X 	NT_011651 	LOC392508 	+ 	23352474 	23354359
Homo sapiens 	X 	NT_011651 	CSTF2 	+ 	23371656 	23392232
Homo sapiens 	X 	NT_011651 	NOX1 	- 	23394621 	23425642
Homo sapiens 	X 	NT_011651 	HNRPA1P6 	- 	23406700 	23407677
Homo sapiens 	X 	NT_011651 	HNRPA1P5 	- 	23439226 	23439925
Homo sapiens 	X 	NT_011651 	XKRX 	- 	23464744 	23480206
Homo sapiens 	X 	NT_011651 	dJ341D10.1 	+ 	23508507 	23510616
Homo sapiens 	X 	NT_011651 	ARL13A 	+ 	23521021 	23542009
Homo sapiens 	X 	NT_011651 	CXorf34 	- 	23560839 	23603378
Homo sapiens 	X 	NT_011651 	TMEM35 	+ 	23630171 	23647661
Homo sapiens 	X 	NT_011651 	CENPI 	+ 	23651106 	23714286
Homo sapiens 	X 	NT_011651 	LOC392510 	- 	23741757 	23742770
Homo sapiens 	X 	NT_011651 	DRP2 	+ 	23771293 	23812225
Homo sapiens 	X 	NT_011651 	TAF7L 	- 	23819549 	23844353
Homo sapiens 	X 	NT_011651 	TIMM8A 	- 	23896958 	23899995
Homo sapiens 	X 	NT_011651 	BTK 	- 	23900750 	23937490
Homo sapiens 	X 	NT_011651 	RPL36A 	+ 	23942256 	23947091
Homo sapiens 	X 	NT_011651 	GLA 	- 	23949105 	23959259
Homo sapiens 	X 	NT_011651 	HNRPH2 	+ 	23959499 	23965429
Homo sapiens 	X 	NT_011651 	ARMCX4 	+ 	24036725 	24084754
Homo sapiens 	X 	NT_011651 	LOC158948 	- 	24088488 	24090741
Homo sapiens 	X 	NT_011651 	ARMCX1 	+ 	24101822 	24105991
Homo sapiens 	X 	NT_011651 	LOC653354 	+ 	24148640 	24149357
Homo sapiens 	X 	NT_011651 	ARMCX6 	- 	24166416 	24169299
Homo sapiens 	X 	NT_011651 	ARMCX3 	+ 	24174428 	24179139
Homo sapiens 	X 	NT_011651 	ARMCX2 	- 	24206575 	24211143
Homo sapiens 	X 	NT_011651 	GKP6 	- 	24329735 	24331872
Homo sapiens 	X 	NT_011651 	NXF5 	- 	24383393 	24408857
Homo sapiens 	X 	NT_011651 	ZMAT1 	- 	24433570 	24483308
Homo sapiens 	X 	NT_011651 	TCEAL2 	+ 	24676968 	24678992
Homo sapiens 	X 	NT_011651 	TCEAL6 	- 	24691758 	24693679
Homo sapiens 	X 	NT_011651 	NGFRAP1L1 	- 	24704992 	24707337
Homo sapiens 	X 	NT_011651 	LOC643877 	+ 	24724405 	24737465
Homo sapiens 	X 	NT_011651 	NXF2 	+ 	24766588 	24877939
Homo sapiens 	X 	NT_011651 	LOC728343 	- 	24911624 	25023040
Homo sapiens 	X 	NT_011651 	TMSL8 	- 	25064918 	25068007
Homo sapiens 	X 	NT_011651 	LOC643976 	- 	25097903 	25099450
Homo sapiens 	X 	NT_011651 	NXF4 	+ 	25101201 	25122929
Homo sapiens 	X 	NT_011651 	ARMCX5 	+ 	25150466 	25155395
Homo sapiens 	X 	NT_011651 	GPRASP1 	+ 	25204984 	25209688
Homo sapiens 	X 	NT_011651 	GPRASP2 	+ 	25263648 	25268969
Homo sapiens 	X 	NT_011651 	BHLHB9 	+ 	25271962 	25303676
Homo sapiens 	X 	NT_011651 	LOC644026 	- 	25297056 	25299765
Homo sapiens 	X 	NT_011651 	MTND2P2 	+ 	25338049 	25339623
Homo sapiens 	X 	NT_011651 	LOC286526 	+ 	25488508 	25489536
Homo sapiens 	X 	NT_011651 	BEX1 	- 	25613889 	25615476
Homo sapiens 	X 	NT_011651 	NXF3 	- 	25627057 	25644330
Homo sapiens 	X 	NT_011651 	BEXL1 	+ 	25766360 	25768431
Homo sapiens 	X 	NT_011651 	TCEAL8 	- 	25804231 	25806429
Homo sapiens 	X 	NT_011651 	TCEAL5 	- 	25824927 	25828108
Homo sapiens 	X 	NT_011651 	BEX2 	- 	25860582 	25862253
Homo sapiens 	X 	NT_011651 	TCEAL7 	+ 	25881473 	25883562
Homo sapiens 	X 	NT_011651 	WBP5 	+ 	25907688 	25909705
Homo sapiens 	X 	NT_011651 	NGFRAP1 	+ 	25927576 	25929309
Homo sapiens 	X 	NT_011651 	RAB40A 	- 	26050989 	26070725
Homo sapiens 	X 	NT_011651 	TCEAL4 	+ 	26136727 	26138965
Homo sapiens 	X 	NT_011651 	TCEAL3 	+ 	26159142 	26161163
Homo sapiens 	X 	NT_011651 	TCEAL1 	+ 	26179956 	26182189
Homo sapiens 	X 	NT_011651 	MORF4L2 	- 	26226741 	26237904
Homo sapiens 	X 	NT_011651 	TMEM31 	+ 	26262145 	26265268
Homo sapiens 	X 	NT_011651 	PLP1 	+ 	26328062 	26343856
Homo sapiens 	X 	NT_011651 	RAB9B 	- 	26376259 	26383466
Homo sapiens 	X 	NT_011651 	LOC442461 	- 	26455547 	26456354
Homo sapiens 	X 	NT_011651 	LOC644261 	+ 	26478985 	26479907
Homo sapiens 	X 	NT_011651 	LOC728493 	- 	26512209 	26513250
Homo sapiens 	X 	NT_011651 	MGC39900 	+ 	26513513 	26529235
Homo sapiens 	X 	NT_011651 	LOC644328 	+ 	26526652 	26527645
Homo sapiens 	X 	NT_011651 	H2BFWT 	- 	26562028 	26564564
Homo sapiens 	X 	NT_011651 	H2BFM 	+ 	26587605 	26593328
Homo sapiens 	X 	NT_011651 	MCART6 	- 	26640206 	26698016
Homo sapiens 	X 	NT_011651 	LOC644353 	+ 	26653328 	26656841
Homo sapiens 	X 	NT_011651 	CXorf39 	+ 	26707609 	26732435
Homo sapiens 	X 	NT_011651 	ESX1 	- 	26791027 	26795896
Homo sapiens 	X 	NT_011651 	IL1RAPL2 	+ 	27107304 	28308130
Homo sapiens 	X 	NT_011651 	LOC644415 	- 	27188153 	27188989
Homo sapiens 	X 	NT_011651 	TEX13A 	- 	27759919 	27761666
Homo sapiens 	X 	NT_011651 	LOC643535 	+ 	27946626 	27948025
Homo sapiens 	X 	NT_011651 	NRK 	+ 	28362844 	28498910
Homo sapiens 	X 	NT_011651 	SERPINA7 	- 	28573505 	28577374
Homo sapiens 	X 	NT_011651 	MUM1L1 	+ 	28717627 	28749256
Homo sapiens 	X 	NT_011651 	LOC644504 	+ 	28867078 	28867359
Homo sapiens 	X 	NT_011651 	CXorf57 	+ 	29151561 	29218980
Homo sapiens 	X 	NT_011651 	RNF128 	+ 	29233376 	29336554
Homo sapiens 	X 	NT_011651 	TBC1D8B 	+ 	29342227 	29415688
Homo sapiens 	X 	NT_011651 	LOC92129 	- 	29439601 	29442869
Homo sapiens 	X 	NT_011651 	CLDN2 	+ 	29459942 	29470399
Homo sapiens 	X 	NT_011651 	MORC4 	- 	29480277 	29525533
Homo sapiens 	X 	NT_011651 	RBM41 	- 	29606676 	29658342
Homo sapiens 	X 	NT_011651 	LOC644563 	+ 	29661535 	29671807
Homo sapiens 	X 	NT_011651 	NUP62CL 	- 	29663010 	29745852
Homo sapiens 	X 	NT_011651 	CXorf41 	+ 	29746170 	29783781
Homo sapiens 	X 	NT_011651 	MYCL2 	+ 	29812120 	29813196
Homo sapiens 	X 	NT_011651 	LOC644588 	- 	29891188 	29892380
Homo sapiens 	X 	NT_011651 	LOC392516 	+ 	29959824 	29972674
Homo sapiens 	X 	NT_011651 	FRMPD3 	+ 	30061988 	30144787
Homo sapiens 	X 	NT_011651 	PRPS1 	+ 	30168067 	30190564
Homo sapiens 	X 	NT_011651 	TSC22D3 	- 	30252759 	30315325
Homo sapiens 	X 	NT_011651 	MID2 	+ 	30365768 	30466729
Homo sapiens 	X 	NT_011651 	NOD13 	+ 	30513339 	30515083
Homo sapiens 	X 	NT_011651 	TEX13B 	- 	30520402 	30521908
Homo sapiens 	X 	NT_011651 	VSIG1 	+ 	30584508 	30618722
Homo sapiens 	X 	NT_011651 	PSMD10 	- 	30623745 	30631156
Homo sapiens 	X 	NT_011651 	ATG4A 	+ 	30631242 	30694204
Homo sapiens 	X 	NT_011651 	COL4A6 	- 	30695154 	30979019
Homo sapiens 	X 	NT_011651 	COL4A5 	+ 	30979462 	31237083
Homo sapiens 	X 	NT_011651 	IRS4 	- 	31272020 	31275959
Homo sapiens 	X 	NT_011651 	LOC644728 	+ 	31880992 	31882234
Homo sapiens 	X 	NT_011651 	GUCY2F 	- 	31912443 	32021593
Homo sapiens 	X 	NT_011651 	NXT2 	+ 	32075318 	32084221
Homo sapiens 	X 	NT_011651 	LOC441511 	+ 	32109230 	32109829
Homo sapiens 	X 	NT_011651 	KCNE1L 	- 	32163237 	32164701
Homo sapiens 	X 	NT_011651 	ACSL4 	- 	32180872 	32272929
Homo sapiens 	X 	NT_011651 	LOC392520 	+ 	32392851 	32393456
Homo sapiens 	X 	NT_011651 	TMEM164 	+ 	32542670 	32713082
Homo sapiens 	X 	NT_011651 	AMMECR1 	- 	32733722 	32857688
Homo sapiens 	X 	NT_011651 	GNG5ps 	- 	32886083 	32886509
Homo sapiens 	X 	NT_011651 	RGAG1 	+ 	32958593 	32995869
Homo sapiens 	X 	NT_011651 	TDGF3 	+ 	33059848 	33062557
Homo sapiens 	X 	NT_011651 	CHRDL1 	- 	33214781 	33335301
Homo sapiens 	X 	NT_011651 	LOC728828 	- 	33635654 	33638593
Homo sapiens 	X 	NT_011651 	PAK3 	+ 	33635908 	33760468
Homo sapiens 	X 	NT_011651 	CAPN6 	- 	33784639 	33810059
Homo sapiens 	X 	NT_011651 	DCX 	- 	33833315 	33951714
Homo sapiens 	X 	NT_011651 	LOC643873 	- 	34159213 	34161025
Homo sapiens 	X 	NT_011651 	LOC392522 	- 	34163746 	34167578
Homo sapiens 	X 	NT_011651 	GLT28D1 	+ 	34220721 	34228332
Homo sapiens 	X 	NT_011651 	LOC728848 	+ 	34247789 	34263438
Homo sapiens 	X 	NT_011651 	CXorf45 	+ 	34266386 	34300180
Homo sapiens 	X 	NT_011651 	TRPC5 	- 	34313850 	34622312
Homo sapiens 	X 	NT_011651 	ZCCHC16 	+ 	34622561 	34996781
Homo sapiens 	X 	NT_011651 	DPRXP7 	- 	34859404 	34860057
Homo sapiens 	X 	NT_011651 	LOC643888 	+ 	34920180 	34923092
Homo sapiens 	X 	NT_011651 	LHFPL1 	- 	35170187 	35219590
Homo sapiens 	X 	NT_011651 	LOC203510 	+ 	35228119 	35230083
Homo sapiens 	X 	NT_011651 	AMOT 	- 	35314413 	35380351
Homo sapiens 	X 	NT_011651 	LOC139466 	+ 	35967295 	36062573
Homo sapiens 	X 	NT_033330 	CRLF2 	- 	660 	17295
Homo sapiens 	X 	NT_033330 	CSF2RA 	+ 	73467 	114593
Homo sapiens 	X 	NT_033330 	IL3RA 	+ 	141275 	187348
Homo sapiens 	X 	NT_033330 	SLC25A6 	- 	190811 	196760
Homo sapiens 	X 	NT_033330 	LOC729018 	+ 	197026 	203217
Homo sapiens 	X 	NT_033330 	CXYorf2 	+ 	206702 	220080
Homo sapiens 	X 	NT_033330 	ASMTL 	- 	207903 	257499
Homo sapiens 	X 	NT_033330 	P2RY8 	- 	267231 	341766
Homo sapiens 	X 	NT_033330 	DXYS155E 	+ 	396252 	407179
Homo sapiens 	X 	NT_033330 	LOC729022 	- 	396485 	397574
Homo sapiens 	X 	NT_033330 	ASMT 	+ 	400114 	447740
Homo sapiens 	X 	NT_033330 	LOC729036 	+ 	621552 	622838
Homo sapiens 	X 	NT_033330 	LOC729039 	+ 	622897 	624123
Homo sapiens 	X 	NT_028405 	LOC286528 	+ 	57459 	58043
Homo sapiens 	X 	NT_028405 	HTR2C 	+ 	250883 	576956
Homo sapiens 	X 	NT_028405 	LOC727794 	- 	251511 	252874
Homo sapiens 	X 	NT_028405 	SNORA35 	+ 	297591 	297718
Homo sapiens 	X 	NT_028405 	IL13RA2 	- 	670870 	684539
Homo sapiens 	X 	NT_028405 	LOC642307 	+ 	736195 	736703
Homo sapiens 	X 	NT_028405 	LRCH2 	- 	777511 	900967
Homo sapiens 	X 	NT_028405 	TMSL7 	+ 	799849 	800330
Homo sapiens 	X 	NT_028405 	CXorf55 	+ 	857299 	859758
Homo sapiens 	X 	NT_028405 	LUZP4 	+ 	956624 	974453
Homo sapiens 	X 	NT_028405 	PLS3 	+ 	1227841 	1317322
Homo sapiens 	X 	NT_028405 	LOC450246 	- 	1326356 	1329638
Homo sapiens 	X 	NT_028405 	ASSP5 	+ 	1331475 	1332972
Homo sapiens 	X 	NT_028405 	LOC642357 	+ 	1369463 	1370772
Homo sapiens 	X 	NT_028405 	LOC728825 	- 	1384982 	1386050
Homo sapiens 	X 	NT_028405 	LOC642383 	- 	1392729 	1393607
Homo sapiens 	X 	NT_028405 	LOC727864 	- 	1395710 	1396588
Homo sapiens 	X 	NT_028405 	LOC727875 	- 	1398691 	1399569
Homo sapiens 	X 	NT_028405 	LOC642450 	- 	1401674 	1402552
Homo sapiens 	X 	NT_028405 	LOC727892 	- 	1404653 	1405531
Homo sapiens 	X 	NT_028405 	LOC727907 	- 	1407644 	1408522
Homo sapiens 	X 	NT_028405 	LOC727917 	- 	1410635 	1411513
Homo sapiens 	X 	NT_028405 	LOC727932 	- 	1413618 	1414496
Homo sapiens 	X 	NT_028405 	LOC727946 	- 	1416603 	1417481
Homo sapiens 	X 	NT_028405 	LOC727952 	- 	1419582 	1420460
Homo sapiens 	X 	NT_028405 	LOC727968 	- 	1422569 	1423447
Homo sapiens 	X 	NT_028405 	LOC727979 	- 	1425538 	1426416
Homo sapiens 	X 	NT_028405 	LOC727990 	- 	1428531 	1429409
Homo sapiens 	X 	NT_028405 	LOC728001 	- 	1431540 	1432418
Homo sapiens 	X 	NT_028405 	LOC642694 	- 	1436729 	1437217
Homo sapiens 	X 	NT_028405 	LOC642731 	- 	1444769 	1445689
Homo sapiens 	X 	NT_028405 	LOC392525 	+ 	1614840 	1615781
Homo sapiens 	X 	NT_028405 	LOC642812 	- 	1678272 	1679820
Homo sapiens 	X 	NT_028405 	AGTR2 	+ 	1742107 	1745924
Homo sapiens 	X 	NT_028405 	SLC6A14 	+ 	2007894 	2032727
Homo sapiens 	X 	NT_028405 	LOC203413 	- 	2032953 	2034239
Homo sapiens 	X 	NT_011757 	DHRSX 	- 	19309 	300737
Homo sapiens 	X 	NT_011757 	ZBED1 	- 	286217 	300770
Homo sapiens 	X 	NT_011757 	LOC729062 	- 	409096 	414702
Homo sapiens 	X 	NT_011757 	LOC401577 	+ 	416593 	438497
Homo sapiens 	X 	NT_011757 	CD99 	+ 	490990 	541112
Homo sapiens 	X 	NT_011757 	XG 	+ 	551877 	615730
Homo sapiens 	X 	NT_011757 	GYG2 	+ 	628625 	682495
Homo sapiens 	X 	NT_011757 	ARSD 	- 	703773 	729154
Homo sapiens 	X 	NT_011757 	ARSE 	- 	734614 	764073
Homo sapiens 	X 	NT_011757 	ARSH 	+ 	806416 	833188
Homo sapiens 	X 	NT_011757 	ARSF 	+ 	866615 	912509
Homo sapiens 	X 	NT_011757 	MXRA5 	- 	1108368 	1143636
Homo sapiens 	X 	NT_011757 	ASSP4 	+ 	1166885 	1168404
Homo sapiens 	X 	NT_011757 	PRKX 	- 	1404173 	1513423
Homo sapiens 	X 	NT_011757 	LOC729116 	- 	1513154 	1513378
Homo sapiens 	X 	NT_011757 	LOC729129 	- 	1615603 	1616268
Homo sapiens 	X 	NT_011757 	LOC389906 	- 	1617331 	1646936
Homo sapiens 	X 	NT_011757 	LOC729137 	- 	1652816 	1663380
Homo sapiens 	X 	NT_011757 	LOC441528 	- 	1681005 	1685361
Homo sapiens 	X 	NT_011757 	LOC286434 	- 	1691241 	1701806
Homo sapiens 	X 	NT_011757 	LOC729162 	- 	1719434 	1738879
Homo sapiens 	X 	NT_011757 	LOC347381 	+ 	3104988 	3106987
Homo sapiens 	X 	NT_011757 	NLGN4X 	- 	3689845 	4028468
Homo sapiens 	X 	NT_011757 	LOC729193 	- 	4026087 	4030094
Homo sapiens 	X 	NT_011757 	LOC392424 	- 	4221895 	4222504
Homo sapiens 	X 	NT_011757 	VCX3A 	- 	4333421 	4334921
Homo sapiens 	X 	NT_011757 	LOC392425 	+ 	4789132 	4789586
Homo sapiens 	X 	NT_011757 	HDHD1A 	- 	4848723 	4947951
Homo sapiens 	X 	NT_011757 	STS 	+ 	5019259 	5154444
Homo sapiens 	X 	NT_011757 	VCX 	+ 	5642065 	5643946
Homo sapiens 	X 	NT_011757 	PNPLA4 	- 	5698566 	5727205
Homo sapiens 	X 	NT_011757 	VCX2 	- 	5969747 	5971070
Homo sapiens 	X 	NT_011757 	VCX-C 	+ 	6264633 	6266309
Homo sapiens 	X 	NT_011757 	KAL1 	- 	6328677 	6531989
Homo sapiens 	X 	NT_011757 	FAM9A 	- 	6590598 	6601186
Homo sapiens 	X 	NT_011757 	LOC392426 	- 	6780225 	6782308
Homo sapiens 	X 	NT_011757 	FAM9B 	- 	6824798 	6833930
Homo sapiens 	X 	NT_011757 	LOC729300 	+ 	6833176 	6833658
Homo sapiens 	X 	NT_011757 	LOC442443 	+ 	7140672 	7214338
Homo sapiens 	X 	NT_011757 	LOC729322 	+ 	7264489 	7265818
Homo sapiens 	X 	NT_011757 	TBL1X 	+ 	7264810 	7519540
Homo sapiens 	X 	NT_011757 	GPR143 	- 	7525216 	7565679
Homo sapiens 	X 	NT_011757 	SHROOM2 	+ 	7586258 	7749243
Homo sapiens 	X 	NT_011757 	LOC729361 	+ 	7814200 	7815184
Homo sapiens 	X 	NT_011757 	WWC3 	+ 	7815374 	7944273
Homo sapiens 	X 	NT_011757 	CLCN4 	+ 	7956799 	8035282
Homo sapiens 	X 	NT_011757 	MID1 	- 	8247910 	8633389
Homo sapiens 	X 	NT_011757 	HCCS 	+ 	8911135 	8922884
Homo sapiens 	X 	NT_011757 	ARHGAP6 	- 	8937347 	9465504
Homo sapiens 	X 	NT_011757 	FAM9C 	+ 	9014607 	9028839
Homo sapiens 	X 	NT_011757 	AMELX 	+ 	9093216 	9100564
Homo sapiens 	X 	NT_011757 	LOC139952 	- 	9503920 	9540856
Homo sapiens 	X 	NT_011757 	MSL3L1 	+ 	9557961 	9575555
Homo sapiens 	X 	NT_011757 	FRMPD4 	+ 	9938268 	10522212
Homo sapiens 	X 	NT_011757 	PRPS2 	+ 	10591176 	10624026
Homo sapiens 	X 	NT_011757 	LOC729412 	+ 	10625897 	10626073
Homo sapiens 	X 	NT_011757 	MRPL35P4 	- 	10644864 	10645232
Homo sapiens 	X 	NT_011757 	TLR7 	+ 	10666885 	10690163
Homo sapiens 	X 	NT_011757 	TLR7-like 	+ 	10685313 	10688593
Homo sapiens 	X 	NT_011757 	TLR8 	+ 	10706441 	10722971
Homo sapiens 	X 	NT_011757 	TMSB4X 	+ 	10774910 	10777029
Homo sapiens 	X 	NT_011757 	LOC728906 	- 	10835435 	10844483
Homo sapiens 	X 	NT_011757 	ATXN3L 	- 	11118449 	11119736
Homo sapiens 	X 	NT_011757 	LOC441481 	- 	11178537 	11179142
Homo sapiens 	X 	NT_011757 	EGFL6 	+ 	11369424 	11433377
Homo sapiens 	X 	NT_011757 	LOC645769 	- 	11450797 	11453241
Homo sapiens 	X 	NT_011757 	MGC17403 	+ 	11462710 	11463366
Homo sapiens 	X 	NT_011757 	RAB9A 	+ 	11489024 	11509447
Homo sapiens 	X 	NT_011757 	TRAPPC2 	- 	11512044 	11534410
Homo sapiens 	X 	NT_011757 	OFD1 	+ 	11534563 	11569155
Homo sapiens 	X 	NT_011757 	GPM6B 	- 	11570745 	11738514
Homo sapiens 	X 	NT_011757 	FAM51A1 	- 	11808081 	11829694
Homo sapiens 	X 	NT_011757 	UBE2E4P 	+ 	12044070 	12045228
Homo sapiens 	X 	NT_011757 	GLRA2 	+ 	12329333 	12531617
Homo sapiens 	X 	NT_011757 	NPM1P9 	+ 	12633949 	12635231
Homo sapiens 	X 	NT_011757 	FANCB 	- 	12643212 	12672867
Homo sapiens 	X 	NT_011757 	MOSPD2 	+ 	12673246 	12721140
Homo sapiens 	X 	NT_011757 	ASB9 	- 	13043792 	13075416
Homo sapiens 	X 	NT_011757 	ASB11 	- 	13083310 	13115410
Homo sapiens 	X 	NT_011757 	PIGA 	- 	13119263 	13135328
Homo sapiens 	X 	NT_011757 	FIGF 	- 	13145401 	13184260
Homo sapiens 	X 	NT_011757 	PIR 	- 	13184604 	13293147
Homo sapiens 	X 	NT_011757 	BMX 	+ 	13300635 	13356335
Homo sapiens 	X 	NT_011757 	ACE2 	- 	13360839 	13400820
Homo sapiens 	X 	NT_011757 	TMEM27 	- 	13427134 	13464837
Homo sapiens 	X 	NT_011757 	LOC728999 	- 	13498814 	13503528
Homo sapiens 	X 	NT_011757 	CA5B 	+ 	13538108 	13584341
Homo sapiens 	X 	NT_011757 	INE2 	- 	13585522 	13587395
Homo sapiens 	X 	NT_011757 	U2AF1L2 	+ 	13590278 	13623066
Homo sapiens 	X 	NT_011757 	AP1S2 	- 	13625612 	13654783
Homo sapiens 	X 	NT_011757 	GRPR 	+ 	13923107 	13953324
Homo sapiens 	X 	NT_011757 	LOC645864 	+ 	13970189 	13971199
